Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
797,CHEMBL3671484,6.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C(=O)CN(C)C)CC1,8.221848749616356,584.1546791400001,7,2,4.5785000000000045,True
5230,CHEMBL187431,29400.0,nM,Cc1ccc(Nc2ncnn3c(C)ccc23)cc1O,4.531652669587842,254.116761068,5,2,2.795340000000001,True
5374,CHEMBL1956892,69200.0,nM,COc1ccc(OC)c(Cn2ccc3c(Nc4cccc(Br)c4)nc(N)nc32)c1,4.1598939055432425,453.0800369800001,7,2,4.585100000000002,True
4370,CHEMBL2047019,4200.0,nM,O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2cccc(C(F)(F)F)c2)c1)NO,5.376750709602099,453.151155464,5,5,4.057700000000001,True
3851,CHEMBL3628792,1330.0,nM,Fc1ccc(Nc2ncnc3sc4c(c23)CCCC4)cc1Cl,5.876148359032914,333.050274316,4,1,5.106200000000003,True
2908,CHEMBL4067916,257.0,nM,CCC(=O)N1CC[C@H](N2C(=O)N(c3cccc(OC(F)F)c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,6.590066876668706,620.3034935160001,8,1,4.839320000000004,True
4570,CHEMBL1170459,5760.0,nM,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1,5.239577516576788,351.12190602400005,6,0,3.509520000000002,True
3953,CHEMBL3741245,1680.0,nM,C=CC(=O)Nc1cccc(Nc2nc(N/N=C(\C)c3ccc(F)cc3)ncc2Cl)c1,5.774690718274137,424.121465096,6,3,4.973300000000003,True
4127,CHEMBL7914,2500.0,nM,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,5.6020599913279625,357.147726848,4,3,4.674240000000003,True
5501,CHEMBL77869,200000.0,nM,COc1cc(C=C(C#N)C#N)ccc1O,3.6989700043360174,200.058577496,4,1,1.83136,True
4063,CHEMBL1828864,2170.0,nM,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Br)cc1,5.66354026615147,401.963352552,7,1,1.3673199999999996,True
2438,CHEMBL188304,100.0,nM,Cc1ccn2ncnc(Nc3ccc(F)c(Cl)c3)c12,7.0,276.05780222,4,1,3.5738200000000013,True
819,CHEMBL590878,6.27,nM,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1.[Cl-],8.202732459169283,338.019330372,6,6,-0.3814999999999998,True
3108,CHEMBL3942999,388.0,nM,CCC(=O)Nc1cc2c(Nc3ccc(Cc4ccncc4)cc3)ncnc2cc1OC,6.411168274405792,413.185174976,6,2,4.716300000000002,True
5158,CHEMBL3234865,23130.0,nM,Cc1ccc(Oc2nc3ccccc3cc2/C=N/NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,4.635824367229381,444.15460312,8,1,3.8989400000000014,True
1712,CHEMBL182254,32.0,nM,Fc1cccc(COc2ccc(Nc3ncnc4nn5ccccc5c34)cc2Cl)c1,7.494850021680094,419.094916,6,1,5.3926000000000025,True
2493,CHEMBL4166412,110.0,nM,NS(=O)(=O)c1ccc(-n2c(SCC(=O)Nc3cnc4ccccc4c3)nc3cc4ccccc4cc3c2=O)cc1,6.958607314841775,567.103496152,8,2,4.465300000000004,True
3569,CHEMBL144791,850.0,nM,N#C/C(=C\c1cc(O)c(O)c(Br)c1)S(=O)(=O)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,6.070581074285707,539.8626312399999,8,4,3.8779600000000016,True
607,CHEMBL1914665,4.0,nM,Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.397940008672037,424.089873392,4,3,5.471600000000004,True
5339,CHEMBL4246256,52110.0,nM,Oc1cccc(Nc2nnnc3sc4c(c23)CCC4)c1,4.283078926833239,284.073182004,6,2,3.0242000000000004,True
1565,CHEMBL3671506,25.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNS(C)(=O)=O,7.602059991327962,523.032515408,7,3,3.327500000000001,True
1717,CHEMBL4167162,32.0,nM,O=C(CN1CCCC1)Nc1ccc2ncnc(Nc3ccc(Cl)cc3)c2c1,7.494850021680094,381.13563794,5,2,4.061100000000003,True
2718,CHEMBL1242852,179.0,nM,CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,6.747146969020107,392.196074008,8,1,4.394300000000002,True
1297,CHEMBL2425087,16.0,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(COC2)C1,7.795880017344075,444.136446464,7,1,3.885500000000003,True
1271,CHEMBL1947124,15.0,nM,CC1(C)CC(C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)CC(C)(C)N1[O],7.823908740944319,470.175905972,5,2,5.7191000000000045,True
5060,CHEMBL1956885,17420.0,nM,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3)[nH]c2n1,4.758951849328356,427.01993526000007,4,3,5.290400000000002,True
532,CHEMBL105053,3.3,nM,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,8.481486060122112,314.153146576,3,2,4.749600000000004,True
3951,CHEMBL499344,1670.0,nM,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccccc3)[nH]c2n1,5.777283528852417,393.058907612,4,3,4.637000000000002,True
4635,CHEMBL4210744,6490.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(N)c2)n1,5.187755303199631,440.17275172,8,2,4.0085000000000015,True
2742,CHEMBL247915,190.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccnc5)c4)c23)CC1,6.721246399047171,453.2389418640001,9,2,3.189000000000001,True
